Building Type,New Building,Elevator,Number of Floors,Total Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Price,District
Monolith,No,Available,9,60.0,3.0,1.0,2.75,5.0,Closed Balcony,Not Available,Partially Renovated,79000.0,Nor Norq
Stone,No,Not Available,5,78.0,3.0,1.0,2.75,2.0,Open Balcony,Available,Partially Renovated,118000.0,Arabkir
Monolith,Yes,Available,15,79.0,3.0,1.0,3.0,8.0,Open Balcony,Not Available,Not Renovated,135000.0,Arabkir
Monolith,Yes,Not Available,4,57.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Capital Renovated,128000.0,Nor Norq
Stone,No,Not Available,5,100.0,3.0,2.0,3.0,4.0,Open Balcony,Not Available,Old Renovation,172000.0,Arabkir
Stone,No,Available,5,44.0,2.0,1.0,3.0,4.0,Open Balcony,Not Available,Partially Renovated,120000.0,Erebuni
Panel,No,Not Available,5,78.0,3.0,1.0,2.7,4.0,Open Balcony,Available,Capital Renovated,115000.0,Nor Norq
Stone,No,Not Available,5,77.0,3.0,1.0,2.75,2.0,Multiple Balconies,Not Available,Old Renovation,95000.0,Shengavit
Stone,No,Not Available,5,96.0,4.0,2.0,2.8,4.0,Multiple Balconies,Not Available,Old Renovation,138000.0,Arabkir
Panel,No,Available,9,87.0,4.0,1.0,2.75,5.0,Open Balcony,Available,Capital Renovated,150000.0,Erebuni
Panel,No,Available,10,65.0,2.0,2.0,2.75,3.0,Not Available,Available,Cosmetic Renovation,137000.0,Arabkir
Stone,No,Not Available,5,60.0,2.0,1.0,2.75,3.0,Open Balcony,Not Available,Old Renovation,105000.0,Arabkir
Stone,No,Not Available,4,93.0,3.0,2.0,3.0,2.0,Closed Balcony,Available,Old Renovation,225000.0,Kentron
Panel,No,Available,12,100.0,3.0,1.0,2.75,8.0,Open Balcony,Available,Old Renovation,250000.0,Kentron
Stone,No,Not Available,5,62.0,2.0,1.0,2.7,3.0,Closed Balcony,Available,Euro Renovation,110000.0,Arabkir
Panel,No,Available,9,65.0,3.0,2.0,2.8,3.0,Closed Balcony,Available,Not Renovated,89000.0,Arabkir
Monolith,Yes,Available,15,61.0,2.0,1.0,3.0,7.0,Open Balcony,Partially Furnished,Capital Renovated,136000.0,Arabkir
Panel,No,Available,9,105.0,4.0,2.0,2.75,3.0,Open Balcony,Available,Euro Renovation,105000.0,Nor Norq
Monolith,Yes,Available,12,55.0,2.0,1.0,3.0,7.0,Open Balcony,Available,Euro Renovation,182000.0,Arabkir
Stone,No,Not Available,5,38.0,1.0,1.0,2.75,2.0,Open Balcony,Available,Cosmetic Renovation,83000.0,Kentron
Panel,No,Available,12,68.0,3.0,1.0,2.75,2.0,Closed Balcony,Available,Euro Renovation,92000.0,Nor Norq
Stone,No,Not Available,5,95.0,3.0,2.0,3.0,5.0,Not Available,Not Available,Designer Renovated,235000.0,Kentron
Monolith,Yes,Available,13,69.0,3.0,1.0,3.0,13.0,Open Balcony,Not Available,Not Renovated,93506.49,Ajapnyak
Panel,No,Available,9,73.0,3.0,1.0,2.75,6.0,Closed Balcony,Partially Furnished,Capital Renovated,90000.0,Nor Norq
Monolith,Yes,Available,7,60.0,2.0,1.0,3.0,6.0,Open Balcony,Not Available,Not Renovated,182000.0,Arabkir
Monolith,Yes,Available,8,70.0,3.0,1.0,3.0,6.0,Not Available,Available,Capital Renovated,170000.0,Kentron
Monolith,Yes,Available,16,81.0,3.0,1.0,3.0,13.0,Open Balcony,Not Available,Not Renovated,133000.0,Ajapnyak
Stone,No,Not Available,5,81.0,3.0,2.0,3.0,4.0,Open Balcony,Available,Old Renovation,130000.0,Arabkir
Monolith,Yes,Available,13,57.0,2.0,1.0,3.0,11.0,Closed Balcony,Available,Capital Renovated,145000.0,Arabkir
Stone,No,Available,8,78.0,3.0,1.0,3.2,3.0,Not Available,Available,Capital Renovated,205000.0,Kentron
Stone,No,Not Available,5,105.0,3.0,2.0,3.0,3.0,Closed Balcony,Not Available,Cosmetic Renovation,182000.0,Arabkir
Monolith,Yes,Available,8,49.0,2.0,2.0,3.0,3.0,Open Balcony,Not Available,Capital Renovated,115000.0,Arabkir
Stone,No,Not Available,4,84.0,3.0,1.0,3.0,3.0,Not Available,Partially Furnished,Capital Renovated,270000.0,Kentron
Monolith,Yes,Available,5,84.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Euro Renovation,238000.0,Kentron
Stone,No,Not Available,5,113.0,3.0,2.0,2.8,5.0,Open Balcony,Available,Capital Renovated,230000.0,Erebuni
Monolith,Yes,Available,14,106.0,3.0,1.0,2.8,3.0,Open Balcony,Available,Capital Renovated,220000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,61.0,2.0,1.0,2.8,5.0,Closed Balcony,Not Available,Old Renovation,180000.0,Kentron
Stone,No,Not Available,5,47.0,1.0,1.0,3.0,4.0,Not Available,Available,Cosmetic Renovation,105000.0,Arabkir
Monolith,Yes,Available,22,84.0,2.0,2.0,3.0,2.0,Open Balcony,Available,Designer Renovated,240000.0,Kentron
Stone,No,Not Available,5,57.0,2.0,1.0,2.8,4.0,Multiple Balconies,Available,Old Renovation,86000.0,Arabkir
Stone,No,Available,8,67.0,3.0,1.0,2.8,4.0,Not Available,Available,Capital Renovated,144000.0,Arabkir
Stone,No,Not Available,5,78.0,3.0,1.0,2.75,4.0,Not Available,Available,Euro Renovation,110000.0,Arabkir
Stone,No,Not Available,5,78.0,3.0,1.0,2.8,4.0,Multiple Balconies,Available,Euro Renovation,140000.0,Arabkir
Stone,No,Available,4,56.0,2.0,1.0,3.0,3.0,Multiple Balconies,Available,Cosmetic Renovation,180000.0,Kentron
Monolith,No,Available,12,88.0,3.0,1.0,2.7,2.0,Open Balcony,Available,Capital Renovated,130000.0,Nor Norq
Panel,No,Available,9,74.0,3.0,1.0,2.75,5.0,Open Balcony,Partially Furnished,Capital Renovated,132000.0,Arabkir
Stone,No,Not Available,4,31.0,1.0,1.0,3.0,2.0,Open Balcony,Available,Capital Renovated,132000.0,Kentron
Stone,No,Not Available,5,90.0,3.0,1.0,3.0,3.0,Multiple Balconies,Not Available,Old Renovation,225000.0,Kentron
Stone,No,Not Available,4,40.0,1.0,1.0,3.0,2.0,Open Balcony,Not Available,Old Renovation,100000.0,Arabkir
Stone,No,Not Available,5,76.0,4.0,1.0,2.8,2.0,Open Balcony,Partially Furnished,Euro Renovation,153000.0,Arabkir
Panel,No,Available,14,100.0,4.0,1.0,2.8,6.0,Not Available,Partially Furnished,Euro Renovation,132000.0,Ajapnyak
Stone,No,Not Available,5,58.0,2.0,1.0,2.75,3.0,Closed Balcony,Not Available,Old Renovation,99000.0,Arabkir
Panel,No,Available,10,95.0,4.0,1.0,2.75,2.0,Not Available,Available,Euro Renovation,260000.0,Kentron
Panel,No,Available,9,75.0,3.0,2.0,2.75,5.0,Closed Balcony,Not Available,Partially Renovated,88000.0,Malatia-Sebastia
Panel,No,Available,16,83.0,3.0,1.0,2.75,6.0,Closed Balcony,Not Available,Old Renovation,125000.0,Arabkir
Monolith,Yes,Not Available,4,80.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Designer Renovated,220000.0,Kentron
Panel,No,Available,9,40.0,2.0,1.0,2.8,2.0,Closed Balcony,Available,Cosmetic Renovation,112000.0,Kentron
Stone,No,Not Available,5,101.0,4.0,2.0,2.75,4.0,Open Balcony,Not Available,Old Renovation,158000.0,Arabkir
Stone,No,Not Available,4,118.0,3.0,2.0,3.2,3.0,Multiple Balconies,Available,Euro Renovation,185000.0,Shengavit
Panel,No,Available,10,80.0,3.0,1.0,2.75,8.0,Closed Balcony,Available,Old Renovation,195000.0,Kentron
Monolith,Yes,Available,12,62.0,2.0,1.0,3.0,9.0,Open Balcony,Available,Capital Renovated,120000.0,Davtashen
Monolith,Yes,Available,12,55.0,2.0,1.0,3.0,7.0,Open Balcony,Available,Not Renovated,142000.0,Arabkir
Stone,No,Not Available,5,60.0,2.0,2.0,3.2,2.0,Not Available,Partially Furnished,Old Renovation,168000.0,Kentron
Monolith,Yes,Available,19,92.0,3.0,2.0,3.0,3.0,Open Balcony,Available,Capital Renovated,204000.0,Davtashen
Stone,No,Not Available,5,67.0,2.0,1.0,2.8,3.0,Multiple Balconies,Available,Partially Renovated,135000.0,Arabkir
Stone,No,Not Available,5,56.0,2.0,1.0,2.8,2.0,Closed Balcony,Available,Partially Renovated,90000.0,Nor Norq
Panel,No,Available,9,68.0,2.0,1.0,2.8,2.0,Not Available,Available,Capital Renovated,120000.0,Arabkir
Monolith,Yes,Available,15,61.0,2.0,1.0,3.0,12.0,Open Balcony,Not Available,Not Renovated,138000.0,Kentron
Monolith,Yes,Available,17,60.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,145000.0,Kentron
Monolith,Yes,Available,5,75.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Designer Renovated,140000.0,Arabkir
Panel,No,Available,9,90.0,4.0,2.0,2.75,4.0,Multiple Balconies,Not Available,Partially Renovated,95000.0,Malatia-Sebastia
Panel,No,Available,10,72.0,2.0,1.0,2.75,6.0,Closed Balcony,Available,Euro Renovation,123000.0,Arabkir
Monolith,Yes,Available,20,67.0,3.0,1.0,3.0,11.0,Open Balcony,Available,Capital Renovated,175324.68,Davtashen
Monolith,Yes,Available,15,53.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Designer Renovated,175000.0,Kentron
Monolith,Yes,Available,14,75.0,2.0,1.0,3.0,6.0,Open Balcony,Available,Euro Renovation,225000.0,Kentron
Panel,No,Available,9,95.0,4.0,2.0,2.8,5.0,Closed Balcony,Available,Euro Renovation,95000.0,Nor Norq
Stone,No,Not Available,5,104.0,3.0,1.0,2.75,3.0,Open Balcony,Available,Capital Renovated,185000.0,Arabkir
Stone,No,Not Available,4,73.0,3.0,1.0,2.8,1.0,Closed Balcony,Partially Furnished,Old Renovation,95000.0,Shengavit
Stone,No,Not Available,5,50.0,2.0,1.0,2.8,2.0,Not Available,Available,Euro Renovation,98000.0,Kentron
Panel,No,Available,9,55.0,3.0,1.0,2.8,1.0,Not Available,Available,Capital Renovated,82000.0,Kentron
Monolith,Yes,Available,6,61.0,3.0,1.0,3.0,1.0,Not Available,Available,Designer Renovated,199000.0,Arabkir
Monolith,Yes,Available,14,58.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Capital Renovated,110000.0,Arabkir
Panel,No,Available,9,98.0,4.0,2.0,2.8,2.0,Not Available,Available,Capital Renovated,168000.0,Davtashen
Panel,No,Available,9,75.0,3.0,1.0,2.8,3.0,Closed Balcony,Partially Furnished,Old Renovation,115000.0,Arabkir
Panel,No,Available,13,83.0,3.0,1.0,2.8,10.0,Not Available,Partially Furnished,Partially Renovated,106000.0,Arabkir
Panel,No,Available,9,78.0,3.0,1.0,2.75,1.0,Open Balcony,Partially Furnished,Partially Renovated,84000.0,Nor Norq
Monolith,Yes,Available,12,55.0,2.0,1.0,3.0,11.0,Open Balcony,Available,Capital Renovated,145000.0,Arabkir
Stone,No,Not Available,5,63.0,2.0,1.0,2.75,4.0,Not Available,Available,Capital Renovated,103000.0,Arabkir
Panel,No,Available,11,88.0,3.0,1.0,2.75,7.0,Closed Balcony,Available,Capital Renovated,200000.0,Kentron
Stone,No,Not Available,5,65.0,2.0,1.0,2.8,2.0,Open Balcony,Available,Old Renovation,92000.0,Arabkir
Stone,No,Available,10,70.0,3.0,1.0,2.8,7.0,Open Balcony,Available,Capital Renovated,165000.0,Erebuni
Monolith,Yes,Available,16,112.0,3.0,1.0,3.0,13.0,Open Balcony,Available,Euro Renovation,264935.06,Arabkir
Panel,No,Available,9,74.0,2.0,1.0,2.8,1.0,Closed Balcony,Available,Old Renovation,145000.0,Arabkir
Panel,No,Available,9,65.0,2.0,2.0,2.75,8.0,Multiple Balconies,Partially Furnished,Euro Renovation,97000.0,Malatia-Sebastia
Panel,No,Available,9,78.0,3.0,2.0,2.8,3.0,Closed Balcony,Available,Cosmetic Renovation,130000.0,Arabkir
Monolith,Yes,Available,8,89.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,170000.0,Arabkir
Monolith,Yes,Available,16,61.0,2.0,1.0,3.0,9.0,Open Balcony,Available,Designer Renovated,170000.0,Arabkir
Monolith,No,Available,18,74.0,3.0,1.0,3.0,14.0,Open Balcony,Not Available,Euro Renovation,165000.0,Davtashen
Panel,No,Available,9,90.0,3.0,2.0,2.75,5.0,Open Balcony,Available,Capital Renovated,149000.0,Arabkir
Panel,No,Available,14,78.0,3.0,2.0,2.75,5.0,Open Balcony,Available,Partially Renovated,105000.0,Arabkir
Stone,No,Not Available,5,60.0,2.0,1.0,3.0,1.0,Not Available,Available,Capital Renovated,90000.0,Nor Norq
Monolith,Yes,Available,14,55.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,132000.0,Arabkir
Stone,No,Not Available,5,57.0,2.0,2.0,2.8,1.0,Closed Balcony,Available,Cosmetic Renovation,75000.0,Nor Norq
Monolith,Yes,Available,16,100.0,3.0,1.0,3.0,9.0,Open Balcony,Available,Designer Renovated,250000.0,Arabkir
Panel,No,Available,9,40.0,1.0,2.0,2.75,4.0,Open Balcony,Available,Capital Renovated,87000.0,Kentron
Stone,No,Not Available,5,47.0,2.0,1.0,2.75,2.0,Open Balcony,Available,Capital Renovated,87000.0,Arabkir
Monolith,Yes,Available,8,55.0,2.0,1.0,3.0,8.0,Open Balcony,Available,Capital Renovated,135000.0,Arabkir
Panel,No,Available,16,90.0,3.0,2.0,2.75,12.0,Multiple Balconies,Partially Furnished,Euro Renovation,124000.0,Arabkir
Stone,No,Not Available,5,107.0,3.0,2.0,3.0,3.0,Open Balcony,Available,Capital Renovated,200000.0,Arabkir
Stone,No,Not Available,5,58.0,2.0,1.0,2.75,3.0,Open Balcony,Available,Capital Renovated,97000.0,Arabkir
