Building Type,New Building,Elevator,Number of Floors,Total Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Price,District
Panel,No,Available,14,76.0,2.0,1.0,2.75,11.0,Open Balcony,Partially Furnished,Cosmetic Renovation,87000.0,Ajapnyak
Stone,No,Not Available,4,90.0,3.0,1.0,3.2,2.0,Open Balcony,Not Available,Old Renovation,163000.0,Kentron
Panel,No,Available,9,95.0,4.0,1.0,2.75,4.0,Closed Balcony,Partially Furnished,Euro Renovation,130000.0,Malatia-Sebastia
Panel,No,Available,16,61.0,2.0,2.0,2.75,15.0,Closed Balcony,Available,Old Renovation,77000.0,Ajapnyak
Stone,No,Not Available,5,58.0,2.0,1.0,2.8,3.0,Not Available,Available,Capital Renovated,133000.0,Kentron
Monolith,Yes,Available,16,69.0,2.0,1.0,3.0,6.0,Open Balcony,Not Available,Not Renovated,158974.0,Qanaqer-Zeytun
Panel,No,Available,14,73.0,2.0,2.0,2.75,6.0,Closed Balcony,Available,Old Renovation,82000.0,Avan
Panel,No,Available,12,87.0,3.0,1.0,2.7,7.0,Multiple Balconies,Partially Furnished,Cosmetic Renovation,100000.0,Ajapnyak
Panel,No,Available,16,95.0,3.0,1.0,2.8,13.0,Open Balcony,Partially Furnished,Euro Renovation,87000.0,Ajapnyak
Monolith,Yes,Available,14,99.0,3.0,2.0,3.0,7.0,Open Balcony,Not Available,Not Renovated,180000.0,Kentron
Panel,Yes,Available,13,41.0,1.0,1.0,2.75,9.0,Closed Balcony,Partially Furnished,Euro Renovation,69000.0,Ajapnyak
Monolith,No,Not Available,5,81.0,4.0,1.0,3.2,5.0,Not Available,Partially Furnished,Euro Renovation,160000.0,Ajapnyak
Stone,No,Not Available,5,47.0,2.0,1.0,2.8,4.0,Closed Balcony,Available,Capital Renovated,110000.0,Arabkir
Panel,No,Not Available,4,30.0,1.0,1.0,2.6,2.0,Open Balcony,Available,Euro Renovation,60000.0,Qanaqer-Zeytun
Monolith,Yes,Available,13,63.0,2.0,2.0,3.0,11.0,Open Balcony,Not Available,Not Renovated,125000.0,Ajapnyak
Panel,No,Available,9,63.0,2.0,1.0,2.8,5.0,Closed Balcony,Available,Capital Renovated,170000.0,Kentron
Monolith,Yes,Available,12,81.0,3.0,2.0,3.2,9.0,Open Balcony,Available,Capital Renovated,170000.0,Arabkir
Stone,No,Not Available,5,58.0,3.0,1.0,3.2,1.0,Closed Balcony,Available,Euro Renovation,105000.0,Erebuni
Stone,No,Not Available,4,58.0,2.0,1.0,2.7,2.0,Multiple Balconies,Partially Furnished,Capital Renovated,89000.0,Ajapnyak
Stone,No,Not Available,5,70.0,2.0,1.0,2.75,4.0,Not Available,Partially Furnished,Old Renovation,95000.0,Ajapnyak
Monolith,Yes,Available,14,67.0,2.0,1.0,3.0,2.0,Open Balcony,Partially Furnished,Capital Renovated,138000.0,Ajapnyak
Monolith,Yes,Available,17,106.0,3.0,1.0,3.0,10.0,Open Balcony,Available,Capital Renovated,250000.0,Qanaqer-Zeytun
Panel,No,Available,9,70.0,2.0,1.0,2.75,3.0,Closed Balcony,Available,Capital Renovated,123500.0,Qanaqer-Zeytun
Stone,No,Not Available,5,45.0,2.0,2.0,2.75,3.0,Multiple Balconies,Available,Designer Renovated,110000.0,Kentron
Panel,No,Available,9,69.0,2.0,2.0,2.8,1.0,Closed Balcony,Available,Old Renovation,79487.0,Ajapnyak
Stone,No,Available,5,76.0,3.0,1.0,2.75,4.0,Multiple Balconies,Available,Capital Renovated,145000.0,Arabkir
Panel,No,Available,14,76.0,3.0,1.0,2.7,6.0,Multiple Balconies,Available,Capital Renovated,102000.0,Ajapnyak
Stone,No,Not Available,5,59.0,3.0,1.0,2.8,1.0,Open Balcony,Available,Designer Renovated,145000.0,Arabkir
Monolith,Yes,Available,14,70.0,3.0,1.0,3.0,3.0,Open Balcony,Not Available,Partially Renovated,95000.0,Malatia-Sebastia
Stone,No,Not Available,5,45.0,2.0,1.0,2.75,4.0,Closed Balcony,Available,Euro Renovation,77000.0,Shengavit
Monolith,Yes,Available,14,65.0,2.0,1.0,3.0,11.0,Open Balcony,Not Available,Not Renovated,135000.0,Ajapnyak
Monolith,Yes,Available,15,105.0,3.0,2.0,3.0,4.0,Open Balcony,Not Available,Not Renovated,187000.0,Avan
Panel,No,Available,16,79.0,3.0,1.0,2.7,4.0,Open Balcony,Not Available,Old Renovation,85000.0,Ajapnyak
Stone,No,Not Available,4,103.0,4.0,1.0,3.0,3.0,Multiple Balconies,Not Available,Old Renovation,166000.0,Erebuni
Panel,Yes,Available,5,75.0,2.0,1.0,3.0,3.0,Open Balcony,Partially Furnished,Euro Renovation,140000.0,Qanaqer-Zeytun
Panel,No,Available,9,45.0,3.0,1.0,2.7,4.0,Open Balcony,Partially Furnished,Capital Renovated,72000.0,Kentron
Monolith,No,Available,14,87.0,3.0,1.0,2.75,11.0,Multiple Balconies,Partially Furnished,Partially Renovated,94000.0,Malatia-Sebastia
Panel,No,Available,9,81.0,3.0,2.0,2.75,7.0,Multiple Balconies,Available,Cosmetic Renovation,85000.0,Nor Norq
Monolith,Yes,Available,9,100.0,3.0,2.0,3.0,8.0,Open Balcony,Not Available,Not Renovated,180000.0,Arabkir
Monolith,Yes,Available,14,62.0,2.0,1.0,3.0,11.0,Open Balcony,Available,Capital Renovated,115000.0,Ajapnyak
Stone,No,Not Available,5,67.0,2.0,1.0,2.8,2.0,Open Balcony,Available,Old Renovation,115000.0,Arabkir
Stone,No,Not Available,5,41.0,1.0,1.0,3.0,4.0,Open Balcony,Partially Furnished,Capital Renovated,123000.0,Kentron
Monolith,Yes,Available,18,68.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Designer Renovated,225000.0,Davtashen
Stone,No,Not Available,5,57.0,2.0,1.0,2.6,5.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,77000.0,Erebuni
Monolith,Yes,Available,17,56.0,2.0,1.0,2.75,7.0,Open Balcony,Not Available,Not Renovated,92307.0,Kentron
Panel,No,Available,16,61.0,2.0,1.0,2.75,15.0,Closed Balcony,Available,Cosmetic Renovation,80000.0,Ajapnyak
Monolith,Yes,Available,16,55.0,2.0,1.0,3.0,11.0,Open Balcony,Not Available,Not Renovated,95000.0,Kentron
Monolith,Yes,Available,20,56.0,2.0,1.0,3.0,12.0,Open Balcony,Not Available,Not Renovated,185000.0,Shengavit
Panel,No,Available,9,106.0,4.0,1.0,2.8,9.0,Closed Balcony,Partially Furnished,Euro Renovation,122000.0,Avan
Monolith,Yes,Available,12,42.0,1.0,1.0,3.0,12.0,Not Available,Partially Furnished,Euro Renovation,72000.0,Ajapnyak
Stone,No,Not Available,5,58.0,2.0,1.0,2.7,4.0,Open Balcony,Partially Furnished,Old Renovation,75000.0,Ajapnyak
Panel,No,Available,9,71.0,3.0,1.0,2.75,1.0,Open Balcony,Partially Furnished,Capital Renovated,120000.0,Qanaqer-Zeytun
Monolith,Yes,Available,15,97.0,3.0,2.0,3.0,5.0,Multiple Balconies,Available,Capital Renovated,180000.0,Qanaqer-Zeytun
Monolith,Yes,Available,6,65.0,2.0,2.0,3.0,4.0,Open Balcony,Not Available,Not Renovated,98000.0,Nor Norq
Panel,No,Available,9,60.0,2.0,1.0,2.7,8.0,Closed Balcony,Partially Furnished,Old Renovation,205000.0,Kentron
Monolith,Yes,Available,4,98.0,3.0,2.0,3.0,3.0,Open Balcony,Not Available,Not Renovated,135000.0,Qanaqer-Zeytun
Monolith,Yes,Available,21,83.0,3.0,1.0,3.0,3.0,Open Balcony,Not Available,Not Renovated,205000.0,Shengavit
Panel,No,Available,9,96.0,3.0,1.0,2.75,3.0,Multiple Balconies,Available,Partially Renovated,113000.0,Davtashen
Monolith,Yes,Available,7,38.0,1.0,1.0,3.0,5.0,Open Balcony,Available,Capital Renovated,117000.0,Arabkir
Panel,No,Available,9,46.0,2.0,1.0,2.8,6.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,66000.0,Malatia-Sebastia
Panel,No,Available,9,73.0,3.0,1.0,2.75,3.0,Closed Balcony,Not Available,Old Renovation,82000.0,Malatia-Sebastia
Stone,No,Not Available,4,95.0,3.0,1.0,3.0,2.0,Open Balcony,Partially Furnished,Partially Renovated,92000.0,Shengavit
Stone,No,Not Available,5,33.0,1.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,92000.0,Arabkir
Stone,No,Not Available,4,78.0,3.0,1.0,2.75,1.0,Not Available,Available,Designer Renovated,92000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,56.0,2.0,1.0,3.0,2.0,Closed Balcony,Partially Furnished,Capital Renovated,165000.0,Kentron
Panel,No,Available,16,91.0,4.0,1.0,2.7,13.0,Closed Balcony,Available,Capital Renovated,109000.0,Ajapnyak
Monolith,Yes,Available,5,73.0,2.0,1.0,3.2,1.0,Open Balcony,Available,Capital Renovated,215000.0,Kentron
Stone,No,Not Available,4,55.0,1.0,1.0,3.0,4.0,Multiple Balconies,Available,Capital Renovated,185000.0,Kentron
Stone,No,Not Available,4,72.0,3.0,1.0,2.6,2.0,Open Balcony,Partially Furnished,Capital Renovated,99000.0,Shengavit
Panel,No,Available,9,86.0,3.0,2.0,2.75,5.0,Open Balcony,Partially Furnished,Capital Renovated,148900.0,Arabkir
Panel,No,Available,16,65.0,3.0,1.0,2.7,3.0,Not Available,Available,Euro Renovation,92000.0,Ajapnyak
Monolith,Yes,Available,14,100.0,3.0,2.0,3.0,8.0,Multiple Balconies,Not Available,Not Renovated,184615.0,Ajapnyak
Monolith,Yes,Available,8,100.0,3.0,2.0,3.2,5.0,Open Balcony,Available,Designer Renovated,253000.0,Avan
Monolith,Yes,Available,12,40.0,2.0,1.0,3.0,11.0,Not Available,Available,Capital Renovated,76000.0,Ajapnyak
Monolith,Yes,Available,12,58.0,2.0,2.0,3.0,7.0,Not Available,Available,Designer Renovated,250000.0,Kentron
Stone,No,Not Available,5,62.0,3.0,1.0,2.7,1.0,Closed Balcony,Partially Furnished,Capital Renovated,81500.0,Shengavit
Monolith,Yes,Available,15,63.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Capital Renovated,165000.0,Arabkir
Panel,No,Available,9,81.0,3.0,1.0,2.8,1.0,Closed Balcony,Available,Capital Renovated,125000.0,Nor Norq
Panel,No,Available,14,81.0,3.0,1.0,2.75,12.0,Not Available,Partially Furnished,Cosmetic Renovation,95000.0,Ajapnyak
Panel,No,Available,9,78.0,3.0,1.0,2.7,1.0,Closed Balcony,Available,Capital Renovated,82000.0,Ajapnyak
Monolith,Yes,Available,21,95.0,4.0,2.0,3.0,9.0,Multiple Balconies,Available,Designer Renovated,220000.0,Ajapnyak
Stone,No,Not Available,5,60.0,2.0,1.0,3.0,3.0,Closed Balcony,Available,Euro Renovation,235000.0,Kentron
Panel,No,Available,9,95.0,3.0,1.0,2.75,4.0,Open Balcony,Partially Furnished,Partially Renovated,128205.0,Nor Norq
Monolith,Yes,Available,16,111.0,4.0,2.0,3.0,14.0,Multiple Balconies,Not Available,Capital Renovated,225000.0,Arabkir
Panel,No,Available,9,89.0,4.0,1.0,2.75,9.0,Open Balcony,Partially Furnished,Capital Renovated,90000.0,Nor Norq
Panel,No,Available,14,77.0,2.0,1.0,2.7,2.0,Open Balcony,Partially Furnished,Capital Renovated,100000.0,Ajapnyak
Stone,No,Not Available,5,89.0,3.0,1.0,3.0,5.0,Open Balcony,Not Available,Partially Renovated,98000.0,Erebuni
Panel,No,Available,16,108.0,4.0,1.0,3.0,3.0,Multiple Balconies,Partially Furnished,Cosmetic Renovation,145000.0,Kentron
Monolith,Yes,Available,5,125.0,3.0,1.0,3.0,4.0,Open Balcony,Available,Capital Renovated,279000.0,Arabkir
Panel,No,Available,14,88.0,3.0,1.0,2.8,5.0,Closed Balcony,Available,Capital Renovated,122000.0,Arabkir
Panel,No,Available,4,50.0,2.0,1.0,2.75,4.0,Open Balcony,Partially Furnished,Capital Renovated,85000.0,Qanaqer-Zeytun
Monolith,Yes,Available,18,97.0,3.0,2.0,3.0,7.0,Multiple Balconies,Available,Capital Renovated,220000.0,Qanaqer-Zeytun
Panel,No,Available,9,67.0,2.0,1.0,2.7,6.0,Closed Balcony,Available,Capital Renovated,100000.0,Ajapnyak
Monolith,Yes,Available,16,104.0,3.0,1.0,3.0,10.0,Open Balcony,Partially Furnished,Euro Renovation,167000.0,Arabkir
Stone,No,Not Available,5,80.0,3.0,1.0,2.75,5.0,Open Balcony,Not Available,Euro Renovation,175000.0,Arabkir
Stone,No,Not Available,5,60.0,2.0,1.0,3.0,3.0,Multiple Balconies,Available,Capital Renovated,235000.0,Kentron
Panel,No,Available,15,55.0,1.0,1.0,2.75,13.0,Closed Balcony,Partially Furnished,Capital Renovated,76000.0,Malatia-Sebastia
Monolith,Yes,Available,16,73.0,3.0,2.0,3.0,9.0,Open Balcony,Not Available,Not Renovated,126000.0,Ajapnyak
Monolith,Yes,Available,18,97.0,3.0,2.0,3.0,7.0,Open Balcony,Available,Capital Renovated,255000.0,Qanaqer-Zeytun
Monolith,Yes,Available,14,65.0,2.0,1.0,2.8,10.0,Not Available,Not Available,Not Renovated,82692.0,Ajapnyak
Monolith,Yes,Available,14,76.0,3.0,2.0,3.0,12.0,Open Balcony,Not Available,Not Renovated,128000.0,Ajapnyak
Stone,No,Not Available,5,58.0,2.0,1.0,2.6,3.0,Multiple Balconies,Available,Old Renovation,105000.0,Arabkir
Panel,No,Available,9,64.0,3.0,1.0,2.8,1.0,Not Available,Available,Euro Renovation,82000.0,Kentron
Stone,No,Not Available,5,38.0,2.0,1.0,2.7,5.0,Not Available,Not Available,Designer Renovated,65000.0,Ajapnyak
Stone,No,Not Available,5,102.0,4.0,1.0,2.7,4.0,Open Balcony,Available,Cosmetic Renovation,115000.0,Qanaqer-Zeytun
Monolith,Yes,Available,12,78.0,3.0,1.0,3.0,9.0,Open Balcony,Available,Capital Renovated,246153.0,Ajapnyak
Panel,No,Available,14,95.0,4.0,2.0,2.75,2.0,Not Available,Not Available,Old Renovation,116000.0,Ajapnyak
Stone,No,Not Available,5,60.0,2.0,1.0,2.7,4.0,Multiple Balconies,Not Available,Cosmetic Renovation,75000.0,Ajapnyak
Stone,No,Not Available,5,68.0,3.0,1.0,2.8,4.0,Open Balcony,Available,Euro Renovation,150000.0,Arabkir
Panel,No,Available,9,90.0,4.0,1.0,2.75,9.0,Multiple Balconies,Available,Euro Renovation,120000.0,Malatia-Sebastia
Stone,No,Not Available,3,85.0,4.0,1.0,3.0,1.0,Not Available,Not Available,Not Renovated,115000.0,Shengavit
Stone,No,Not Available,5,51.0,2.0,1.0,2.75,3.0,Not Available,Available,Designer Renovated,125000.0,Kentron
Panel,No,Available,9,90.0,3.0,2.0,2.75,1.0,Closed Balcony,Partially Furnished,Euro Renovation,108000.0,Malatia-Sebastia
Panel,No,Available,16,80.0,3.0,1.0,2.75,13.0,Closed Balcony,Available,Capital Renovated,97000.0,Ajapnyak
Panel,No,Available,9,96.0,3.0,1.0,2.7,2.0,Open Balcony,Partially Furnished,Old Renovation,155000.0,Erebuni
Panel,No,Available,12,62.0,3.0,1.0,2.75,2.0,Closed Balcony,Partially Furnished,Capital Renovated,110000.0,Ajapnyak
Monolith,Yes,Available,18,89.0,3.0,1.0,3.0,9.0,Open Balcony,Not Available,Capital Renovated,154000.0,Kentron
Panel,No,Available,16,62.0,2.0,1.0,2.7,5.0,Closed Balcony,Partially Furnished,Capital Renovated,87000.0,Ajapnyak
Stone,No,Not Available,4,38.0,1.0,1.0,2.6,4.0,Closed Balcony,Partially Furnished,Old Renovation,60000.0,Ajapnyak
Monolith,Yes,Available,12,42.0,2.0,1.0,2.8,7.0,Not Available,Partially Furnished,Capital Renovated,70000.0,Ajapnyak
Monolith,No,Available,9,90.0,3.0,1.0,3.0,9.0,Open Balcony,Partially Furnished,Capital Renovated,199500.0,Kentron
Monolith,Yes,Available,16,65.0,2.0,1.0,3.0,13.0,Open Balcony,Not Available,Capital Renovated,175000.0,Qanaqer-Zeytun
Panel,No,Available,9,98.0,4.0,1.0,2.75,3.0,Not Available,Partially Furnished,Capital Renovated,125000.0,Malatia-Sebastia
Stone,No,Not Available,5,53.0,2.0,1.0,2.75,2.0,Closed Balcony,Available,Euro Renovation,160000.0,Arabkir
Monolith,Yes,Available,14,63.0,2.0,1.0,3.0,13.0,Open Balcony,Not Available,Not Renovated,107000.0,Ajapnyak
Panel,No,Not Available,4,74.0,3.0,1.0,2.75,2.0,Multiple Balconies,Partially Furnished,Old Renovation,88000.0,Qanaqer-Zeytun
Panel,No,Available,12,65.0,2.0,1.0,2.75,2.0,Closed Balcony,Partially Furnished,Capital Renovated,110000.0,Ajapnyak
Panel,No,Available,9,47.0,1.0,1.0,2.75,8.0,Closed Balcony,Partially Furnished,Euro Renovation,71000.0,Malatia-Sebastia
Panel,No,Available,14,52.0,2.0,1.0,2.8,13.0,Not Available,Partially Furnished,Capital Renovated,78000.0,Malatia-Sebastia
Panel,No,Available,14,90.0,4.0,1.0,2.75,13.0,Not Available,Partially Furnished,Capital Renovated,87000.0,Malatia-Sebastia
Panel,No,Available,9,80.0,3.0,2.0,2.75,3.0,Multiple Balconies,Partially Furnished,Partially Renovated,83000.0,Malatia-Sebastia
Panel,No,Available,13,75.0,3.0,1.0,2.75,11.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,98000.0,Arabkir
Panel,No,Available,11,90.0,3.0,1.0,2.8,10.0,Open Balcony,Partially Furnished,Capital Renovated,220000.0,Kentron
Stone,No,Not Available,4,51.0,2.0,1.0,3.0,3.0,Not Available,Not Available,Not Renovated,87000.0,Shengavit
Stone,No,Not Available,5,75.0,3.0,1.0,3.2,2.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,220000.0,Kentron
Panel,No,Available,9,65.0,2.0,1.0,2.75,8.0,Open Balcony,Partially Furnished,Capital Renovated,78000.0,Qanaqer-Zeytun
Panel,No,Available,16,78.0,3.0,1.0,2.8,9.0,Multiple Balconies,Partially Furnished,Old Renovation,72000.0,Ajapnyak
Monolith,Yes,Available,14,100.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Designer Renovated,270000.0,Arabkir
Monolith,Yes,Available,13,47.0,2.0,1.0,3.0,12.0,Open Balcony,Available,Euro Renovation,269000.0,Kentron
Monolith,Yes,Available,11,68.0,3.0,1.0,3.0,6.0,Open Balcony,Not Available,Capital Renovated,179487.0,Arabkir
Monolith,Yes,Available,14,72.0,2.0,1.0,3.0,2.0,Open Balcony,Partially Furnished,Capital Renovated,165000.0,Qanaqer-Zeytun
Panel,No,Available,9,80.0,3.0,2.0,2.75,6.0,Closed Balcony,Available,Euro Renovation,110000.0,Malatia-Sebastia
Panel,No,Available,9,67.0,2.0,2.0,2.75,9.0,Closed Balcony,Available,Partially Renovated,83000.0,Malatia-Sebastia
Stone,No,Not Available,5,78.0,3.0,1.0,2.75,5.0,Multiple Balconies,Not Available,Not Renovated,90000.0,Ajapnyak
Panel,No,Available,9,96.0,4.0,2.0,2.75,7.0,Closed Balcony,Partially Furnished,Old Renovation,105000.0,Malatia-Sebastia
Monolith,Yes,Available,18,110.0,3.0,1.0,3.2,14.0,Multiple Balconies,Not Available,Not Renovated,155000.0,Davtashen
Monolith,Yes,Available,16,70.0,3.0,2.0,3.0,11.0,Open Balcony,Not Available,Not Renovated,117948.0,Ajapnyak
Monolith,Yes,Available,4,78.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Designer Renovated,155000.0,Erebuni
Panel,No,Available,16,61.0,2.0,1.0,2.7,15.0,Closed Balcony,Partially Furnished,Partially Renovated,80000.0,Ajapnyak
Panel,No,Available,9,73.0,4.0,1.0,2.8,1.0,Not Available,Available,Euro Renovation,123500.0,Qanaqer-Zeytun
Stone,No,Not Available,5,38.0,2.0,1.0,2.75,3.0,Open Balcony,Not Available,Capital Renovated,92000.0,Arabkir
Stone,No,Not Available,4,54.0,2.0,1.0,2.75,4.0,Closed Balcony,Available,Capital Renovated,81000.0,Ajapnyak
Monolith,Yes,Available,20,80.0,3.0,1.0,3.2,5.0,Multiple Balconies,Available,Capital Renovated,165000.0,Arabkir
Panel,No,Available,10,76.0,3.0,1.0,2.75,6.0,Multiple Balconies,Not Available,Old Renovation,78000.0,Nor Norq
Stone,No,Not Available,5,52.0,2.0,1.0,3.0,2.0,Not Available,Partially Furnished,Euro Renovation,100000.0,Shengavit
Monolith,Yes,Available,18,97.0,3.0,2.0,3.0,7.0,Not Available,Available,Capital Renovated,230000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,81.0,3.0,2.0,2.8,2.0,Open Balcony,Partially Furnished,Partially Renovated,99000.0,Shengavit
Stone,No,Not Available,5,57.0,2.0,1.0,2.75,2.0,Closed Balcony,Available,Capital Renovated,147000.0,Arabkir
Stone,No,Not Available,5,50.0,2.0,1.0,3.0,2.0,Open Balcony,Partially Furnished,Capital Renovated,250000.0,Kentron
Panel,No,Available,9,66.0,2.0,1.0,2.8,9.0,Closed Balcony,Partially Furnished,Capital Renovated,82000.0,Qanaqer-Zeytun
Monolith,Yes,Available,6,66.0,2.0,1.0,3.0,3.0,Open Balcony,Not Available,Not Renovated,125320.0,Nor Norq
Panel,No,Available,9,37.0,2.0,1.0,2.8,2.0,Closed Balcony,Available,Capital Renovated,121000.0,Kentron
Panel,No,Available,9,65.0,2.0,1.0,2.75,3.0,Open Balcony,Partially Furnished,Capital Renovated,88000.0,Ajapnyak
Monolith,Yes,Available,15,75.0,2.0,1.0,3.0,7.0,Open Balcony,Not Available,Partially Renovated,200000.0,Malatia-Sebastia
Panel,No,Available,16,96.0,3.0,2.0,2.7,14.0,Open Balcony,Partially Furnished,Capital Renovated,270000.0,Kentron
Monolith,Yes,Not Available,5,48.0,2.0,1.0,3.0,2.0,Open Balcony,Partially Furnished,Euro Renovation,109000.0,Shengavit
Panel,No,Available,16,61.0,2.0,1.0,2.8,13.0,Open Balcony,Not Available,Old Renovation,62000.0,Ajapnyak
Monolith,Yes,Not Available,8,51.0,3.0,1.0,3.0,3.0,Open Balcony,Not Available,Not Renovated,75000.0,Avan
Panel,No,Available,9,83.0,3.0,1.0,2.75,6.0,Multiple Balconies,Available,Capital Renovated,118000.0,Avan
Monolith,Yes,Available,16,59.0,2.0,1.0,3.0,6.0,Open Balcony,Available,Euro Renovation,225000.0,Kentron
Monolith,Yes,Available,7,63.0,3.0,1.0,3.0,7.0,Open Balcony,Not Available,Not Renovated,79000.0,Nor Norq
Panel,No,Not Available,5,55.0,2.0,1.0,2.75,2.0,Closed Balcony,Not Available,Not Renovated,75000.0,Qanaqer-Zeytun
Panel,No,Available,14,119.0,4.0,1.0,2.75,3.0,Open Balcony,Available,Capital Renovated,130000.0,Ajapnyak
Stone,No,Not Available,5,65.0,3.0,1.0,2.75,5.0,Open Balcony,Partially Furnished,Old Renovation,82000.0,Shengavit
Monolith,Yes,Available,8,70.0,3.0,1.0,3.0,8.0,Open Balcony,Partially Furnished,Capital Renovated,133000.0,Shengavit
Stone,No,Not Available,5,70.0,2.0,1.0,2.75,4.0,Multiple Balconies,Available,Partially Renovated,95000.0,Ajapnyak
Panel,No,Available,9,70.0,3.0,1.0,2.7,5.0,Not Available,Available,Designer Renovated,120000.0,Ajapnyak
Panel,No,Available,10,62.0,2.0,1.0,2.75,4.0,Multiple Balconies,Partially Furnished,Cosmetic Renovation,80000.0,Shengavit
Stone,No,Not Available,4,45.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,125000.0,Kentron
Panel,No,Available,11,90.0,3.0,1.0,2.75,9.0,Multiple Balconies,Available,Capital Renovated,190000.0,Kentron
Stone,No,Not Available,5,92.0,3.0,1.0,3.0,3.0,Closed Balcony,Available,Old Renovation,250000.0,Kentron
Stone,No,Not Available,5,108.0,3.0,1.0,2.75,5.0,Not Available,Available,Cosmetic Renovation,101000.0,Shengavit
Monolith,Yes,Available,11,76.0,2.0,1.0,3.0,2.0,Not Available,Available,Capital Renovated,145000.0,Kentron
Monolith,Yes,Available,14,84.0,3.0,2.0,3.0,3.0,Open Balcony,Not Available,Not Renovated,108000.0,Ajapnyak
Monolith,No,Available,10,48.0,2.0,1.0,2.75,3.0,Not Available,Available,Capital Renovated,145000.0,Kentron
Monolith,Yes,Available,14,95.0,4.0,2.0,3.0,14.0,Open Balcony,Not Available,Not Renovated,148000.0,Arabkir
Panel,No,Available,13,96.0,4.0,2.0,3.0,8.0,Not Available,Available,Euro Renovation,115000.0,Qanaqer-Zeytun
Panel,No,Not Available,4,64.0,3.0,1.0,3.0,2.0,Closed Balcony,Partially Furnished,Partially Renovated,87000.0,Avan
Panel,No,Available,10,40.0,2.0,1.0,2.75,10.0,Not Available,Partially Furnished,Partially Renovated,95000.0,Kentron
Panel,No,Available,9,67.0,3.0,1.0,2.8,1.0,Closed Balcony,Available,Euro Renovation,91000.0,Avan
Stone,No,Not Available,5,42.0,2.0,1.0,2.8,4.0,Open Balcony,Partially Furnished,Cosmetic Renovation,60500.0,Erebuni
Stone,No,Available,7,72.0,2.0,1.0,2.7,5.0,Open Balcony,Not Available,Old Renovation,130000.0,Arabkir
Panel,No,Available,13,75.0,2.0,1.0,2.75,11.0,Closed Balcony,Partially Furnished,Partially Renovated,99900.0,Arabkir
Stone,No,Not Available,5,60.0,2.0,1.0,2.8,2.0,Open Balcony,Available,Cosmetic Renovation,92000.0,Arabkir
Panel,No,Available,9,71.0,3.0,2.0,2.75,7.0,Open Balcony,Available,Euro Renovation,130000.0,Arabkir
Stone,No,Not Available,3,112.0,4.0,1.0,3.0,2.0,Open Balcony,Partially Furnished,Cosmetic Renovation,140000.0,Shengavit
Monolith,No,Available,9,46.0,2.0,1.0,2.8,2.0,Closed Balcony,Available,Designer Renovated,110000.0,Kentron
Stone,No,Not Available,5,70.0,3.0,2.0,2.7,1.0,Not Available,Partially Furnished,Euro Renovation,225000.0,Kentron
Stone,No,Not Available,5,60.0,2.0,1.0,2.7,3.0,Not Available,Partially Furnished,Capital Renovated,150000.0,Arabkir
Panel,No,Available,9,50.0,2.0,1.0,2.75,8.0,Open Balcony,Not Available,Capital Renovated,80000.0,Kentron
Stone,No,Not Available,5,83.0,3.0,1.0,2.75,3.0,Multiple Balconies,Not Available,Partially Renovated,164000.0,Arabkir
Stone,No,Not Available,12,42.0,2.0,1.0,2.75,1.0,Not Available,Partially Furnished,Cosmetic Renovation,65000.0,Ajapnyak
Monolith,No,Available,12,86.0,3.0,1.0,2.8,11.0,Open Balcony,Partially Furnished,Cosmetic Renovation,210000.0,Kentron
Panel,No,Available,9,65.0,2.0,1.0,2.75,8.0,Closed Balcony,Available,Capital Renovated,115000.0,Qanaqer-Zeytun
Panel,No,Available,9,39.0,2.0,1.0,2.8,2.0,Closed Balcony,Partially Furnished,Euro Renovation,82000.0,Kentron
Panel,No,Available,9,97.0,4.0,1.0,2.8,8.0,Multiple Balconies,Partially Furnished,Old Renovation,115000.0,Davtashen
Panel,No,Available,9,126.0,4.0,2.0,2.8,8.0,Multiple Balconies,Partially Furnished,Old Renovation,190000.0,Arabkir
Stone,No,Not Available,5,95.0,3.0,1.0,3.2,5.0,Closed Balcony,Partially Furnished,Partially Renovated,140000.0,Shengavit
Panel,No,Available,9,50.0,1.0,1.0,2.75,1.0,Closed Balcony,Not Available,Old Renovation,61500.0,Malatia-Sebastia
Stone,No,Not Available,5,115.0,4.0,2.0,2.8,2.0,Open Balcony,Partially Furnished,Capital Renovated,156000.0,Ajapnyak
Panel,No,Available,9,74.0,3.0,1.0,2.75,9.0,Closed Balcony,Partially Furnished,Old Renovation,73000.0,Nor Norq
Panel,No,Available,9,96.0,4.0,2.0,2.7,7.0,Closed Balcony,Partially Furnished,Capital Renovated,230000.0,Kentron
